# x_m,y_m,w_tr_right_m,w_tr_left_m
0.7926,3.5732,0.5550,0.7300
0.7900,3.4224,0.5550,0.7300
0.7876,3.2716,0.5550,0.5800
0.7853,3.1210,0.5550,0.5800
0.7831,2.9704,0.5550,0.5800
0.7811,2.8198,0.5550,0.5800
0.7793,2.6694,0.5550,0.5800
0.7776,2.5190,0.5550,0.5800
0.7760,2.3686,0.5550,0.5800
0.7746,2.2184,0.5550,0.5800
0.7734,2.0682,0.5550,0.5800
0.7722,1.9181,0.5550,0.5800
0.7712,1.7680,0.5550,0.5800
0.7703,1.6180,0.5550,0.5800
0.7696,1.4680,0.5550,0.5800
0.7689,1.3181,0.5550,0.5800
0.7684,1.1683,0.5550,0.5800
0.7679,1.0185,0.5300,0.6050
0.7676,0.8688,0.5300,0.6050
0.7674,0.7192,0.5300,0.6050
0.7673,0.5696,0.5300,0.6050
0.7673,0.4200,0.5300,0.6050
0.7674,0.2706,0.5300,0.6050
0.7676,0.1211,0.5300,0.6050
0.7678,-0.0282,0.5300,0.6050
0.7682,-0.1776,0.5550,0.5800
0.7686,-0.3269,0.5550,0.5800
0.7691,-0.4761,0.5550,0.5800
0.7696,-0.6253,0.5550,0.5800
0.7703,-0.7744,0.5550,0.5800
0.7710,-0.9235,0.5550,0.5800
0.7717,-1.0725,0.5550,0.5800
0.7726,-1.2215,0.5550,0.5800
0.7735,-1.3704,0.5550,0.5800
0.7744,-1.5193,0.5550,0.5800
0.7754,-1.6682,0.5550,0.5800
0.7764,-1.8170,0.5550,0.5800
0.7774,-1.9658,0.5550,0.5800
0.7785,-2.1145,0.5550,0.5800
0.7797,-2.2632,0.5550,0.5800
0.7808,-2.4119,0.5550,0.5800
0.7820,-2.5605,0.5550,0.5800
0.7832,-2.7091,0.5550,0.5800
0.7845,-2.8576,0.5550,0.5800
0.7857,-3.0061,0.5550,0.5800
0.7870,-3.1546,0.5550,0.5800
0.7883,-3.3031,0.5550,0.5800
0.7895,-3.4515,0.5550,0.5800
0.7908,-3.5999,0.5550,0.5800
0.7921,-3.7482,0.5550,0.5800
0.7934,-3.8965,0.5800,0.5550
0.7946,-4.0448,0.5800,0.5550
0.7959,-4.1931,0.5800,0.5550
0.7971,-4.3413,0.5800,0.5550
0.7983,-4.4895,0.5800,0.5550
0.7995,-4.6377,0.5800,0.5550
0.8007,-4.7859,0.5800,0.5550
0.8018,-4.9340,0.5800,0.5550
0.8029,-5.0821,0.5800,0.5550
0.8040,-5.2302,0.5800,0.5550
0.8050,-5.3783,0.5800,0.5550
0.8060,-5.5263,0.5800,0.5550
0.8070,-5.6744,0.5800,0.5550
0.8079,-5.8224,0.5800,0.5550
0.8087,-5.9704,0.5800,0.5550
0.8095,-6.1184,0.5800,0.5550
0.8102,-6.2663,0.5800,0.5550
0.8108,-6.4143,0.5800,0.5550
0.8114,-6.5622,0.5800,0.5550
0.8119,-6.7101,0.5800,0.5550
0.8123,-6.8580,0.5800,0.5550
0.8127,-7.0059,0.5800,0.5550
0.8130,-7.1538,0.5800,0.5550
0.8131,-7.3017,0.5800,0.5550
0.8132,-7.4496,0.5800,0.5550
0.8132,-7.5974,0.5800,0.5550
0.8131,-7.7453,0.5800,0.5550
0.8130,-7.8932,0.5800,0.5550
0.8127,-8.0410,0.5800,0.5550
0.8122,-8.1888,0.5800,0.5550
0.8117,-8.3367,0.5800,0.5550
0.8111,-8.4845,0.5800,0.5550
0.8104,-8.6324,0.5800,0.5550
0.8095,-8.7802,0.5800,0.5550
0.8085,-8.9280,0.5800,0.5550
0.8074,-9.0759,0.5800,0.5550
0.8061,-9.2237,0.5800,0.5550
0.8047,-9.3715,0.5800,0.5550
0.8032,-9.5194,0.5800,0.5550
0.8015,-9.6672,0.5800,0.5550
0.7997,-9.8151,0.5800,0.5550
0.7977,-9.9629,0.5800,0.5550
0.7956,-10.1108,0.5800,0.5550
0.7933,-10.2587,0.5800,0.5550
0.7909,-10.4066,0.5550,0.5800
0.7883,-10.5545,0.5550,0.5800
0.7855,-10.7024,0.5550,0.5800
0.7826,-10.8503,0.5550,0.5800
0.7795,-10.9982,0.5550,0.5800
0.7763,-11.1462,0.5550,0.5800
0.7731,-11.2943,0.5550,0.5800
0.7700,-11.4425,0.5550,0.5800
0.7669,-11.5908,0.5300,0.6050
0.7640,-11.7393,0.5300,0.6050
0.7614,-11.8880,0.5300,0.6050
0.7591,-12.0370,0.5300,0.6050
0.7571,-12.1862,0.5300,0.6050
0.7556,-12.3357,0.5300,0.6050
0.7546,-12.4856,0.5300,0.6050
0.7542,-12.6358,0.5300,0.6050
0.7544,-12.7864,0.5300,0.6050
0.7553,-12.9374,0.5300,0.6050
0.7569,-13.0888,0.5300,0.6050
0.7595,-13.2408,0.5300,0.6050
0.7629,-13.3933,0.5300,0.6050
0.7673,-13.5463,0.5300,0.6050
0.7727,-13.6999,0.5550,0.5800
0.7792,-13.8540,0.5550,0.5800
0.7869,-14.0089,0.5550,0.5800
0.7958,-14.1644,0.5800,0.5550
0.8061,-14.3206,0.5800,0.5550
0.8179,-14.4772,0.6050,0.5550
0.8326,-14.6323,0.6050,0.5300
0.8521,-14.7831,0.6300,2.2800
0.8782,-14.9268,0.6800,2.2800
0.9129,-15.0608,0.7300,2.3550
0.9580,-15.1822,0.8050,2.7050
1.0153,-15.2884,1.2050,2.8800
1.0866,-15.3766,1.2050,2.8800
1.1739,-15.4440,1.0800,2.5300
1.2788,-15.4881,0.9050,0.9550
1.3985,-15.5076,0.8550,1.0800
1.5273,-15.5026,0.8550,2.8800
1.6594,-15.4732,0.9300,2.8800
1.7902,-15.4202,0.6300,2.8800
1.9185,-15.3462,0.5050,2.8800
2.0434,-15.2543,0.4050,0.7300
2.1638,-15.1474,0.3300,0.8300
2.2788,-15.0283,0.2800,0.7300
2.3877,-14.9000,0.4050,0.7550
2.4893,-14.7655,0.4050,0.7550
2.5828,-14.6275,0.3550,0.7300
2.6672,-14.4892,0.3550,0.7550
2.7427,-14.3524,0.3800,0.7800
2.8109,-14.2172,0.3550,0.7800
2.8737,-14.0840,0.3800,0.7800
