# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.1250,5.8072,0.9802,0.9802
-1.0479,5.8072,0.9753,0.9753
-0.9707,5.8072,0.9729,0.9729
-0.8943,5.8004,0.9660,0.9660
-0.8190,5.7837,0.9511,0.9511
-0.7437,5.7669,0.9389,0.9389
-0.6675,5.7556,0.9354,0.9354
-0.5922,5.7388,0.9298,0.9298
-0.5169,5.7221,0.9269,0.9269
-0.4410,5.7090,0.9312,0.9312
-0.3654,5.6940,0.9372,0.9372
-0.2901,5.6773,0.9447,0.9447
-0.2148,5.6605,0.9545,0.9545
-0.1395,5.6438,0.9676,0.9676
-0.0660,5.6209,0.9783,0.9783
0.0060,5.5934,0.9802,0.9802
0.0764,5.5619,0.9772,0.9772
0.1406,5.5192,0.9713,0.9713
0.2000,5.4701,0.9579,0.9579
0.2545,5.4156,0.9438,0.9438
0.3053,5.3575,0.9212,0.9212
0.3512,5.2957,0.8988,0.8988
0.3940,5.2315,0.8777,0.8777
0.4380,5.1682,0.8526,0.8526
0.4833,5.1059,0.8238,0.8238
0.5225,5.0395,0.7990,0.7990
0.5641,4.9746,0.7709,0.7709
0.5990,4.9059,0.7491,0.7491
0.6304,4.8354,0.7301,0.7301
0.6597,4.7641,0.7137,0.7137
0.6795,4.6897,0.7082,0.7082
0.6983,4.6150,0.7007,0.7007
0.7182,4.5405,0.6918,0.6918
0.7349,4.4652,0.6885,0.6885
0.7517,4.3899,0.6842,0.6842
0.7607,4.3134,0.6805,0.6805
0.7693,4.2367,0.6727,0.6727
0.7750,4.1599,0.6632,0.6632
0.7750,4.0827,0.6541,0.6541
0.7750,4.0056,0.6395,0.6395
0.7750,3.9285,0.6252,0.6252
0.7750,3.8513,0.6145,0.6145
0.7750,3.7742,0.6061,0.6061
0.7750,3.6970,0.6026,0.6026
0.7750,3.6199,0.6045,0.6045
0.7750,3.5428,0.6115,0.6115
0.7750,3.4656,0.6201,0.6201
0.7750,3.3885,0.6268,0.6268
0.7669,3.3118,0.6270,0.6270
0.7583,3.2351,0.6259,0.6259
0.7498,3.1585,0.6220,0.6220
0.7413,3.0818,0.6144,0.6144
0.7296,3.0057,0.6035,0.6035
0.7134,2.9303,0.5922,0.5922
0.7048,2.8536,0.5907,0.5907
0.6963,2.7770,0.5911,0.5911
0.6878,2.7003,0.5933,0.5933
0.6793,2.6236,0.5979,0.5979
0.6750,2.5467,0.6035,0.6035
0.6678,2.4700,0.6102,0.6102
0.6593,2.3933,0.6158,0.6158
0.6507,2.3167,0.6227,0.6227
0.6374,2.2408,0.6234,0.6234
0.6207,2.1655,0.6223,0.6223
0.6039,2.0902,0.6274,0.6274
0.5948,2.0136,0.6340,0.6340
0.5863,1.9369,0.6360,0.6360
0.5698,1.8616,0.6288,0.6288
0.5584,1.7854,0.6259,0.6259
0.5499,1.7088,0.6220,0.6220
0.5413,1.6321,0.6144,0.6144
0.5328,1.5554,0.6059,0.6059
0.5250,1.4787,0.6000,0.6000
0.5250,1.4016,0.6000,0.6000
0.5250,1.3244,0.6000,0.6000
0.5250,1.2473,0.6000,0.6000
0.5250,1.1702,0.6000,0.6000
0.5250,1.0930,0.6000,0.6000
0.5229,1.0160,0.6000,0.6000
0.5144,0.9393,0.6000,0.6000
0.5059,0.8627,0.6000,0.6000
0.4973,0.7860,0.6000,0.6000
0.4888,0.7093,0.6000,0.6000
0.4803,0.6327,0.6000,0.6000
0.4750,0.5558,0.6000,0.6000
0.4750,0.4787,0.6000,0.6000
0.4750,0.4016,0.6000,0.6000
0.4750,0.3244,0.6000,0.6000
0.4750,0.2473,0.6000,0.6000
0.4678,0.1705,0.5934,0.5934
0.4593,0.0939,0.5874,0.5874
0.4508,0.0172,0.5852,0.5852
0.4423,-0.0595,0.5852,0.5852
0.4338,-0.1361,0.5852,0.5852
0.4252,-0.2128,0.5852,0.5852
0.4250,-0.2899,0.5928,0.5928
0.4250,-0.3670,0.5984,0.5984
0.4250,-0.4442,0.6000,0.6000
0.4250,-0.5213,0.6000,0.6000
0.4250,-0.5985,0.6000,0.6000
0.4183,-0.6752,0.6004,0.6004
0.4098,-0.7519,0.6027,0.6027
0.4013,-0.8286,0.6083,0.6083
0.3928,-0.9052,0.6168,0.6168
0.3842,-0.9819,0.6247,0.6247
0.3757,-1.0586,0.6289,0.6289
0.3750,-1.1357,0.6295,0.6295
0.3750,-1.2128,0.6272,0.6272
0.3667,-1.2895,0.6290,0.6290
0.3582,-1.3661,0.6290,0.6290
0.3497,-1.4428,0.6301,0.6301
0.3412,-1.5195,0.6349,0.6349
0.3293,-1.5956,0.6402,0.6402
0.3132,-1.6710,0.6445,0.6445
0.3047,-1.7477,0.6447,0.6447
0.2962,-1.8243,0.6458,0.6458
0.2877,-1.9010,0.6466,0.6466
0.2791,-1.9777,0.6467,0.6467
0.2750,-2.0546,0.6494,0.6494
0.2750,-2.1317,0.6521,0.6521
0.2750,-2.2088,0.6519,0.6519
0.2750,-2.2860,0.6507,0.6507
0.2750,-2.3631,0.6500,0.6500
0.2667,-2.4398,0.6583,0.6583
0.2582,-2.5165,0.6668,0.6668
0.2497,-2.5931,0.6753,0.6753
0.2411,-2.6698,0.6839,0.6839
0.2326,-2.7465,0.6924,0.6924
