x_map,y_map,v_target,kappa,s
0.5946,4.0642,5.1374,0.223578,0.0000
0.6008,3.9861,5.1980,0.179466,0.0784
0.6058,3.9078,5.2580,0.174711,0.1568
0.6098,3.8295,5.2880,0.148135,0.2352
0.6128,3.7512,5.2269,0.155227,0.3136
0.6149,3.6728,5.1650,0.374505,0.3920
0.6147,3.5944,5.1024,0.384105,0.4704
0.6122,3.5161,5.1635,0.369916,0.5488
0.6073,3.4378,5.2239,0.058140,0.6272
0.6022,3.3596,5.2836,0.057866,0.7056
0.5966,3.2814,5.3426,0.035291,0.7840
0.5909,3.2032,5.4010,0.032050,0.8623
0.5849,3.1251,5.4587,0.024060,0.9407
0.5788,3.0469,5.5159,0.012335,1.0191
0.5726,2.9688,5.5724,0.012212,1.0975
0.5664,2.8906,5.6284,0.005112,1.1759
0.5601,2.8125,5.6839,0.003941,1.2543
0.5538,2.7343,5.7388,0.000766,1.3327
0.5475,2.6562,5.7931,0.000708,1.4111
0.5411,2.5780,5.8470,0.000845,1.4895
0.5348,2.4999,5.9004,0.000857,1.5679
0.5285,2.4218,5.9533,0.000825,1.6463
0.5223,2.3436,6.0058,0.000691,1.7247
0.5160,2.2655,6.0577,0.000679,1.8031
0.5097,2.1873,6.1093,0.000669,1.8815
0.5034,2.1092,6.1604,0.000535,1.9599
0.4971,2.0310,6.2111,0.000522,2.0383
0.4908,1.9529,6.2614,0.000564,2.1167
0.4846,1.8748,6.3113,0.000456,2.1951
0.4783,1.7966,6.3608,0.000439,2.2735
0.4720,1.7185,6.4099,0.000405,2.3519
0.4658,1.6403,6.4586,0.000345,2.4302
0.4595,1.5622,6.5070,0.000356,2.5086
0.4533,1.4840,6.5550,0.000336,2.5870
0.4470,1.4059,6.6027,0.000534,2.6654
0.4407,1.3277,6.6500,0.001062,2.7438
0.4345,1.2496,6.6970,0.001112,2.8222
0.4283,1.1715,6.7436,0.001395,2.9006
0.4220,1.0933,6.7900,0.002281,2.9790
0.4158,1.0152,6.8360,0.002452,3.0574
0.4096,0.9370,6.8817,0.002514,3.1358
0.4034,0.8589,6.9271,0.002622,3.2142
0.3972,0.7807,6.9723,0.002613,3.2926
0.3911,0.7026,7.0171,0.002607,3.3710
0.3850,0.6244,7.0616,0.002589,3.4494
0.3788,0.5462,7.1059,0.002573,3.5278
0.3727,0.4681,7.1499,0.002575,3.6062
0.3666,0.3899,7.1936,0.002558,3.6846
0.3606,0.3118,7.2371,0.002547,3.7630
0.3545,0.2336,7.2803,0.002332,3.8414
0.3484,0.1554,7.3232,0.001828,3.9198
0.3424,0.0773,7.3659,0.001648,3.9982
0.3364,-0.0009,7.4084,0.001401,4.0765
0.3304,-0.0790,7.4506,0.000596,4.1549
0.3244,-0.1572,7.4926,0.000252,4.2333
0.3183,-0.2354,7.5343,0.000187,4.3117
0.3123,-0.3135,7.5758,0.000078,4.3901
0.3063,-0.3917,7.6171,0.000037,4.4685
0.3003,-0.4699,7.6581,0.000033,4.5469
