x_map,y_map,v_target,kappa,s
0.8483,4.1102,1.9877,1.3005,0.0000
0.7914,4.0124,2.3905,0.9976,0.1088
0.7439,3.9056,2.4112,0.8605,0.2177
0.7068,3.7960,2.4314,0.7357,0.3265
0.6790,3.6847,2.4514,0.6215,0.4354
0.6589,3.5727,2.4710,0.5177,0.5442
0.6452,3.4607,2.4903,0.4213,0.6531
0.6367,3.3489,2.5093,0.3329,0.7619
0.6324,3.2375,2.5281,0.2612,0.8708
0.6312,3.1267,2.5466,0.1973,0.9796
0.6324,3.0164,2.5649,0.1449,1.0885
0.6353,2.9065,2.5831,0.1022,1.1973
0.6395,2.7970,2.6010,0.0702,1.3062
0.6444,2.6878,2.6803,0.0471,1.4150
0.6499,2.5786,2.7819,0.0297,1.5238
0.6557,2.4699,2.8899,0.0163,1.6327
0.6617,2.3611,2.9987,0.0055,1.7415
0.6678,2.2523,3.1055,0.0045,1.8504
0.6739,2.1437,3.2088,0.0127,1.9592
0.6798,2.0352,3.3085,0.0194,2.0681
0.6854,1.9267,3.4046,0.0255,2.1769
0.6908,1.8182,3.4971,0.0303,2.2858
0.6958,1.7098,3.5863,0.0323,2.3946
0.7004,1.6013,3.6728,0.0339,2.5035
0.7046,1.4929,3.7570,0.0338,2.6123
0.7083,1.3844,3.8391,0.0346,2.7212
0.7117,1.2758,3.9194,0.0332,2.8300
0.7147,1.1673,3.9981,0.0331,2.9388
0.7174,1.0588,4.0755,0.0322,3.0477
0.7196,0.9503,4.1516,0.0311,3.1565
0.7215,0.8417,4.2265,0.0296,3.2654
0.7230,0.7331,4.3002,0.0287,3.3742
0.7242,0.6246,4.3730,0.0264,3.4831
0.7250,0.5159,4.4449,0.0248,3.5919
0.7256,0.4073,4.5159,0.0228,3.7008
0.7259,0.2986,4.5862,0.0202,3.8096
0.7260,0.1899,4.6556,0.0177,3.9185
0.7258,0.0812,4.7243,0.0154,4.0273
0.7255,-0.0275,4.7922,0.0130,4.1361
0.7250,-0.1363,4.8594,0.0110,4.2450
0.7244,-0.2450,4.9258,0.0086,4.3538
0.7237,-0.3537,4.9913,0.0067,4.4627
0.7229,-0.4626,5.0562,0.0044,4.5715
0.7221,-0.5714,5.1203,0.0025,4.6804
0.7212,-0.6802,5.1837,0.0013,4.7892
0.7203,-0.7890,5.2462,0.0001,4.8981
0.7194,-0.8980,5.3082,0.0015,5.0069
0.7186,-1.0068,5.3693,0.0024,5.1158
0.7177,-1.1156,5.4298,0.0034,5.2246
0.7169,-1.2245,5.4896,0.0042,5.3335
0.7162,-1.3334,5.5488,0.0045,5.4423
0.7155,-1.4423,5.6073,0.0050,5.5511
0.7148,-1.5512,5.6652,0.0054,5.6600
0.7143,-1.6601,5.7225,0.0057,5.7688
0.7138,-1.7689,5.7792,0.0055,5.8777
0.7133,-1.8779,5.8355,0.0058,5.9865
0.7129,-1.9867,5.8911,0.0054,6.0954
0.7126,-2.0956,5.9462,0.0052,6.2042
0.7124,-2.2046,6.0009,0.0047,6.3131
0.7122,-2.3134,6.0550,0.0047,6.4219
0.7121,-2.4223,6.1087,0.0046,6.5308
0.7120,-2.5311,6.1618,0.0037,6.6396
0.7119,-2.6401,6.2146,0.0041,6.7485
0.7120,-2.7489,6.2669,0.0029,6.8573
0.7120,-2.8578,6.3188,0.0027,6.9661
0.7121,-2.9667,6.3703,0.0025,7.0750
0.7122,-3.0756,6.4214,0.0021,7.1838
0.7123,-3.1844,6.4720,0.0015,7.2927
0.7125,-3.2932,6.5000,0.0009,7.4015
0.7126,-3.4021,6.5000,0.0007,7.5104
0.7128,-3.5109,6.5000,0.0000,7.6192
0.7130,-3.6198,6.5000,0.0000,7.7281
0.7131,-3.7286,6.5000,0.0000,7.8369
0.7133,-3.8375,6.5000,0.0003,7.9458
0.7135,-3.9463,6.5000,0.0008,8.0546
0.7136,-4.0552,6.5000,0.0012,8.1635
0.7138,-4.1640,6.5000,0.0005,8.2723
0.7139,-4.2729,6.5000,0.0013,8.3811
0.7140,-4.3817,6.5000,0.0010,8.4900
0.7141,-4.4906,6.5000,0.0012,8.5988
0.7142,-4.5994,6.5000,0.0011,8.7077
0.7143,-4.7082,6.5000,0.0012,8.8165
0.7144,-4.8170,6.5000,0.0010,8.9254
0.7144,-4.9258,6.5000,0.0009,9.0342
0.7145,-5.0347,6.5000,0.0006,9.1431
0.7145,-5.1435,6.5000,0.0004,9.2519
0.7145,-5.2524,6.5000,0.0004,9.3608
0.7146,-5.3612,6.5000,0.0005,9.4696
0.7146,-5.4701,6.5000,0.0005,9.5785
0.7146,-5.5789,6.5000,0.0002,9.6873
0.7146,-5.6878,6.5000,0.0001,9.7961
0.7146,-5.7966,6.5000,0.0003,9.9050
0.7146,-5.9055,6.5000,0.0002,10.0138
0.7147,-6.0143,6.5000,0.0000,10.1227
0.7147,-6.1231,6.5000,0.0000,10.2315
0.7147,-6.2320,6.5000,0.0000,10.3404
0.7147,-6.3408,6.5000,0.0000,10.4492
0.7147,-6.4497,6.5000,0.0000,10.5581
0.7147,-6.5585,6.5000,0.0000,10.6669
0.7147,-6.6674,6.5000,0.0001,10.7758
0.7147,-6.7762,6.5000,0.0003,10.8846
0.7147,-6.8851,6.5000,0.0002,10.9935
0.7147,-6.9939,6.5000,0.0001,11.1023
0.7147,-7.1028,6.5000,0.0004,11.2111
0.7147,-7.2116,6.5000,0.0000,11.3200
0.7147,-7.3204,6.5000,0.0000,11.4288
0.7147,-7.4293,6.5000,0.0000,11.5377
0.7147,-7.5381,6.5000,0.0000,11.6465
0.7147,-7.6470,6.5000,0.0000,11.7554
0.7147,-7.7558,6.5000,0.0000,11.8642
0.7147,-7.8647,6.5000,0.0000,11.9731
0.7146,-7.9735,6.5000,0.0000,12.0819
0.7146,-8.0824,6.5000,0.0000,12.1908
0.7146,-8.1912,6.5000,0.0000,12.2996
0.7146,-8.3001,6.5000,0.0000,12.4084
0.7146,-8.4089,6.5000,0.0000,12.5173
0.7146,-8.5178,6.5000,0.0000,12.6261
0.7146,-8.6266,6.5000,0.0000,12.7350
0.7146,-8.7354,6.5000,0.0005,12.8438
0.7146,-8.8443,6.5000,0.0000,12.9527
0.7146,-8.9531,6.5000,0.0000,13.0615
0.7146,-9.0620,6.5000,0.0000,13.1704
0.7146,-9.1708,6.5000,0.0005,13.2792
0.7146,-9.2797,6.5000,0.0001,13.3881
0.7146,-9.3885,6.5000,0.0000,13.4969
0.7146,-9.4974,6.5000,0.0000,13.6058
0.7146,-9.6062,6.5000,0.0000,13.7146
0.7146,-9.7151,6.5000,0.0000,13.8234
0.7146,-9.8239,6.4533,0.0000,13.9323
0.7146,-9.9328,6.3804,0.0000,14.0411
0.7145,-10.0416,6.3066,0.0000,14.1500
0.7145,-10.1504,6.2320,0.0000,14.2588
0.7145,-10.2593,6.1564,0.0000,14.3677
0.7145,-10.3681,6.0799,0.0000,14.4765
0.7145,-10.4770,6.0024,0.0000,14.5854
0.7145,-10.5858,5.9239,0.0000,14.6942
0.7145,-10.6947,5.8444,0.0000,14.8031
0.7145,-10.8035,5.7638,0.0003,14.9119
0.7145,-10.9124,5.6819,0.0003,15.0208
0.7145,-11.0212,5.5990,0.0003,15.1296
0.7145,-11.1301,5.5147,0.0003,15.2384
0.7145,-11.2389,5.4292,0.0000,15.3473
0.7145,-11.3478,5.3423,0.0000,15.4561
0.7145,-11.4566,5.2540,0.0000,15.5650
0.7145,-11.5654,5.1642,0.0000,15.6738
0.7145,-11.6743,5.0727,0.0000,15.7827
0.7145,-11.7831,4.9796,0.0000,15.8915
0.7145,-11.8920,4.8847,0.0000,16.0004
0.7144,-12.0008,4.7879,0.0000,16.1092
0.7144,-12.1097,4.6891,0.0000,16.2181
0.7144,-12.2185,4.5882,0.0000,16.3269
0.7144,-12.3274,4.4850,0.0000,16.4358
0.7144,-12.4362,4.3795,0.0000,16.5446
0.7144,-12.5451,4.2712,0.0000,16.6534
0.7144,-12.6539,4.1602,0.0001,16.7623
0.7144,-12.7628,4.0461,0.0004,16.8711
0.7144,-12.8716,3.9288,0.0005,16.9800
0.7144,-12.9804,3.8078,0.0006,17.0888
0.7144,-13.0893,3.6828,0.0014,17.1977
0.7143,-13.1981,3.5535,0.0026,17.3065
