x_map,y_map,v_target,kappa,s
1.0296,4.0047,2.1148,1.0045,0.0000
0.9623,3.9252,2.2578,0.8078,0.1003
0.9059,3.8423,2.3873,0.7086,0.2031
0.8567,3.7520,2.5132,0.6741,0.3082
0.8148,3.6556,2.6357,0.6629,0.4154
0.7789,3.5546,2.7550,0.6035,0.5239
0.7485,3.4505,2.8707,0.5048,0.6334
0.7232,3.3439,2.9829,0.4230,0.7435
0.7027,3.2358,3.0917,0.3582,0.8538
0.6861,3.1267,3.1969,0.3059,0.9641
0.6730,3.0172,3.2988,0.2605,1.0743
0.6629,2.9074,3.3976,0.2211,1.1843
0.6555,2.7977,3.4933,0.1875,1.2941
0.6501,2.6881,3.5863,0.1587,1.4038
0.6465,2.5784,3.6770,0.1333,1.5129
0.6444,2.4693,3.7650,0.1105,1.6221
0.6436,2.3601,3.8510,0.0909,1.7312
0.6439,2.2510,3.9351,0.0740,1.8401
0.6450,2.1421,4.0172,0.0587,1.9488
0.6468,2.0334,4.0976,0.0447,2.0574
0.6489,1.9248,4.1763,0.0320,2.1660
0.6515,1.8163,4.2536,0.0214,2.2743
0.6542,1.7080,4.3294,0.0136,2.3828
0.6571,1.5995,4.4039,0.0074,2.4911
0.6600,1.4913,4.4771,0.0015,2.5995
0.6628,1.3829,4.5491,-0.0034,2.7080
0.6656,1.2744,4.6201,-0.0070,2.8164
0.6684,1.1661,4.6900,-0.0094,2.9248
0.6710,1.0578,4.7588,-0.0115,3.0331
0.6735,0.9494,4.8266,-0.0135,3.1416
0.6758,0.8410,4.8936,-0.0149,3.2501
0.6778,0.7325,4.9596,-0.0155,3.3584
0.6797,0.6242,5.0247,-0.0155,3.4670
0.6814,0.5156,5.0892,-0.0154,3.5755
0.6829,0.4071,5.1527,-0.0149,3.6841
0.6843,0.2985,5.2156,-0.0139,3.7927
0.6855,0.1899,5.2777,-0.0129,3.9014
0.6865,0.0813,5.3391,-0.0120,4.0100
0.6873,-0.0274,5.3998,-0.0110,4.1188
0.6881,-0.1361,5.4599,-0.0096,4.2275
0.6887,-0.2448,5.5193,-0.0084,4.3361
0.6892,-0.3535,5.5780,-0.0074,4.4450
0.6897,-0.4624,5.6363,-0.0059,4.5538
0.6901,-0.5711,5.6939,-0.0047,4.6626
0.6904,-0.6799,5.7509,-0.0040,4.7714
0.6906,-0.7888,5.8074,-0.0029,4.8804
0.6909,-0.8978,5.8635,-0.0017,4.9893
0.6911,-1.0066,5.9189,-0.0010,5.0981
0.6913,-1.1154,5.9738,-0.0002,5.2070
0.6915,-1.2243,6.0282,0.0006,5.3159
0.6918,-1.3332,6.0822,0.0008,5.4248
0.6920,-1.4421,6.1357,0.0011,5.5337
0.6922,-1.5511,6.1887,0.0014,5.6427
0.6926,-1.6600,6.2413,0.0018,5.7515
0.6929,-1.7688,6.2934,0.0025,5.8605
0.6931,-1.8778,6.3451,0.0025,5.9693
0.6935,-1.9866,6.3964,0.0020,6.0782
0.6939,-2.0956,6.4472,0.0018,6.1872
0.6943,-2.2046,6.4978,0.0023,6.2961
0.6947,-2.3134,6.5000,0.0025,6.4050
0.6952,-2.4223,6.5000,0.0017,6.5138
0.6957,-2.5311,6.5000,0.0012,6.6228
0.6961,-2.6401,6.5000,0.0010,6.7316
0.6967,-2.7489,6.5000,0.0009,6.8405
0.6972,-2.8578,6.5000,0.0010,6.9494
0.6978,-2.9667,6.5000,0.0005,7.0583
0.6983,-3.0756,6.5000,-0.0000,7.1671
0.6988,-3.1844,6.5000,-0.0002,7.2759
0.6994,-3.2932,6.5000,-0.0007,7.3848
0.6999,-3.4021,6.5000,-0.0007,7.4936
0.7005,-3.5109,6.5000,-0.0009,7.6025
0.7010,-3.6198,6.5000,-0.0014,7.7113
0.7014,-3.7286,6.5000,-0.0014,7.8202
0.7019,-3.8375,6.5000,-0.0020,7.9290
0.7024,-3.9463,6.5000,-0.0023,8.0379
0.7028,-4.0552,6.5000,-0.0020,8.1467
0.7033,-4.1640,6.5000,-0.0023,8.2556
0.7036,-4.2729,6.5000,-0.0023,8.3644
0.7039,-4.3817,6.5000,-0.0024,8.4733
0.7043,-4.4906,6.5000,-0.0028,8.5821
0.7046,-4.5994,6.5000,-0.0025,8.6909
0.7048,-4.7082,6.5000,-0.0026,8.7997
0.7051,-4.8170,6.5000,-0.0026,8.9085
0.7052,-4.9258,6.5000,-0.0024,9.0174
0.7054,-5.0347,6.5000,-0.0027,9.1262
0.7055,-5.1435,6.5000,-0.0028,9.2351
0.7056,-5.2524,6.5000,-0.0026,9.3439
0.7057,-5.3612,6.5000,-0.0027,9.4528
0.7058,-5.4701,6.5000,-0.0021,9.5616
0.7057,-5.5789,6.5000,-0.0019,9.6705
0.7057,-5.6878,6.5000,-0.0025,9.7793
0.7057,-5.7966,6.5000,-0.0026,9.8882
0.7056,-5.9055,6.5000,-0.0022,9.9970
0.7056,-6.0143,6.5000,-0.0021,10.1058
0.7054,-6.1231,6.5000,-0.0020,10.2147
0.7052,-6.2320,6.5000,-0.0023,10.3235
0.7051,-6.3408,6.4879,-0.0026,10.4324
0.7049,-6.4497,6.4509,-0.0023,10.5412
0.7046,-6.5585,6.4137,-0.0019,10.6501
0.7044,-6.6674,6.3762,-0.0019,10.7589
0.7041,-6.7762,6.3385,-0.0020,10.8678
0.7038,-6.8851,6.3006,-0.0020,10.9766
0.7035,-6.9939,6.2625,-0.0019,11.0855
0.7031,-7.1028,6.2242,-0.0018,11.1943
