x_map,y_map,v_target,kappa,s
0.8921,4.1209,2.1148,1.0045,0.0000
0.8190,4.0341,2.2578,0.8078,0.1003
0.7522,3.9360,2.3873,0.7086,0.2031
0.6949,3.8310,2.5132,0.6741,0.3082
0.6474,3.7216,2.6357,0.6629,0.4154
0.6077,3.6100,2.7550,0.6035,0.5239
0.5745,3.4965,2.8707,0.5048,0.6334
0.5472,3.3815,2.9829,0.4230,0.7435
0.5252,3.2662,3.0917,0.3582,0.8538
0.5077,3.1510,3.1969,0.3059,0.9641
0.4940,3.0361,3.2988,0.2605,1.0743
0.4835,2.9217,3.3976,0.2211,1.1843
0.4758,2.8082,3.4933,0.1875,1.2941
0.4703,2.6955,3.5863,0.1587,1.4038
0.4665,2.5831,3.6770,0.1333,1.5129
0.4644,2.4717,3.7650,0.1105,1.6221
0.4636,2.3605,3.8510,0.0909,1.7312
0.4639,2.2499,3.9351,0.0740,1.8401
0.4717,2.1398,4.0172,0.0587,1.9488
0.4801,2.0304,4.0976,0.0447,2.0574
0.4889,1.9214,4.1763,0.0320,2.1660
0.4982,1.8125,4.2536,0.0214,2.2743
0.5076,1.7042,4.3294,0.0136,2.3828
0.5171,1.5958,4.4039,0.0074,2.4911
0.5267,1.4878,4.4771,0.0015,2.5995
0.5361,1.3796,4.5491,-0.0034,2.7080
0.5456,1.2713,4.6201,-0.0070,2.8164
0.5551,1.1633,4.6900,-0.0094,2.9248
0.5643,1.0553,4.7588,-0.0115,3.0331
0.5735,0.9472,4.8266,-0.0135,3.1416
0.5825,0.8391,4.8936,-0.0149,3.2501
0.5911,0.7310,4.9596,-0.0155,3.3584
0.5997,0.6229,5.0247,-0.0155,3.4670
0.6014,0.5144,5.0892,-0.0154,3.5755
0.6029,0.4060,5.1527,-0.0149,3.6841
0.6043,0.2975,5.2156,-0.0139,3.7927
0.6055,0.1891,5.2777,-0.0129,3.9014
0.6065,0.0806,5.3391,-0.0120,4.0100
0.6073,-0.0280,5.3998,-0.0110,4.1188
0.6081,-0.1366,5.4599,-0.0096,4.2275
0.6087,-0.2452,5.5193,-0.0084,4.3361
0.6092,-0.3539,5.5780,-0.0074,4.4450
0.6097,-0.4627,5.6363,-0.0059,4.5538
0.6101,-0.5714,5.6939,-0.0047,4.6626
0.6104,-0.6801,5.7509,-0.0040,4.7714
0.6106,-0.7890,5.8074,-0.0029,4.8804
0.6109,-0.8980,5.8635,-0.0017,4.9893
0.6111,-1.0067,5.9189,-0.0010,5.0981
0.6113,-1.1155,5.9738,-0.0002,5.2070
0.6115,-1.2245,6.0282,0.0006,5.3159
0.6118,-1.3334,6.0822,0.0008,5.4248
0.6120,-1.4422,6.1357,0.0011,5.5337
0.6122,-1.5513,6.1887,0.0014,5.6427
0.6126,-1.6603,6.2413,0.0018,5.7515
0.6129,-1.7690,6.2934,0.0025,5.8605
0.6131,-1.8780,6.3451,0.0025,5.9693
0.6135,-1.9869,6.3964,0.0020,6.0782
0.6139,-2.0959,6.4472,0.0018,6.1872
0.6143,-2.2049,6.4978,0.0023,6.2961
0.6147,-2.3137,6.5000,0.0025,6.4050
0.6152,-2.4227,6.5000,0.0017,6.5138
0.6157,-2.5314,6.5000,0.0012,6.6228
0.6161,-2.6405,6.5000,0.0010,6.7316
0.6167,-2.7493,6.5000,0.0009,6.8405
0.6172,-2.8582,6.5000,0.0010,6.9494
0.6178,-2.9671,6.5000,0.0005,7.0583
0.6183,-3.0760,6.5000,-0.0000,7.1671
0.6188,-3.1848,6.5000,-0.0002,7.2759
0.6194,-3.2936,6.5000,-0.0007,7.3848
0.6199,-3.4025,6.5000,-0.0007,7.4936
0.6205,-3.5113,6.5000,-0.0009,7.6025
0.6210,-3.6201,6.5000,-0.0014,7.7113
0.6214,-3.7289,6.5000,-0.0014,7.8202
0.6219,-3.8379,6.5000,-0.0020,7.9290
0.6224,-3.9466,6.5000,-0.0023,8.0379
0.6228,-4.0555,6.5000,-0.0020,8.1467
0.6233,-4.1643,6.5000,-0.0023,8.2556
0.6236,-4.2731,6.5000,-0.0023,8.3644
0.6239,-4.3820,6.5000,-0.0024,8.4733
0.6243,-4.4909,6.5000,-0.0028,8.5821
0.6246,-4.5996,6.5000,-0.0025,8.6909
0.6248,-4.7084,6.5000,-0.0026,8.7997
0.6251,-4.8171,6.5000,-0.0026,8.9085
0.6252,-4.9259,6.5000,-0.0024,9.0174
0.6254,-5.0348,6.5000,-0.0027,9.1262
0.6255,-5.1436,6.5000,-0.0028,9.2351
0.6256,-5.2525,6.5000,-0.0026,9.3439
0.6257,-5.3613,6.5000,-0.0027,9.4528
0.6258,-5.4701,6.5000,-0.0021,9.5616
0.6257,-5.5789,6.5000,-0.0019,9.6705
0.6257,-5.6878,6.5000,-0.0025,9.7793
0.6257,-5.7966,6.5000,-0.0026,9.8882
0.6256,-5.9055,6.5000,-0.0022,9.9970
0.6256,-6.0142,6.5000,-0.0021,10.1058
0.6254,-6.1230,6.5000,-0.0020,10.2147
0.6252,-6.2319,6.5000,-0.0023,10.3235
0.6251,-6.3407,6.4879,-0.0026,10.4324
0.6249,-6.4495,6.4509,-0.0023,10.5412
0.6246,-6.5583,6.4137,-0.0019,10.6501
0.6244,-6.6672,6.3762,-0.0019,10.7589
0.6241,-6.7760,6.3385,-0.0020,10.8678
0.6238,-6.8849,6.3006,-0.0020,10.9766
0.6235,-6.9936,6.2625,-0.0019,11.0855
0.6231,-7.1025,6.2242,-0.0018,11.1943
0.6228,-7.2113,6.1856,-0.0017,11.3031
0.6224,-7.3201,6.1468,-0.0016,11.4120
0.6219,-7.4290,6.1077,-0.0019,11.5208
0.6215,-7.5378,6.0683,-0.0021,11.6297
0.6211,-7.6467,6.0287,-0.0017,11.7385
0.6206,-7.7554,5.9889,-0.0014,11.8474
0.6201,-7.8643,5.9488,-0.0014,11.9562
0.6195,-7.9731,5.9084,-0.0014,12.0651
0.6190,-8.0820,5.8677,-0.0015,12.1739
0.6185,-8.1908,5.8268,-0.0011,12.2828
0.6180,-8.2997,5.7855,-0.0007,12.3916
0.6174,-8.4085,5.7440,-0.0009,12.5005
0.6168,-8.5174,5.7021,-0.0012,12.6093
0.6162,-8.6262,5.6600,-0.0010,12.7181
0.6156,-8.7350,5.6175,-0.0009,12.8270
0.6150,-8.8439,5.5747,-0.0008,12.9358
0.6144,-8.9527,5.5316,-0.0007,13.0447
0.6138,-9.0615,5.4881,-0.0006,13.1535
0.6131,-9.1703,5.4443,-0.0004,13.2624
0.6125,-9.2792,5.4002,-0.0003,13.3712
0.6118,-9.3880,5.3556,-0.0001,13.4801
0.6112,-9.4969,5.3107,-0.0003,13.5889
0.6105,-9.6057,5.2655,-0.0005,13.6978
0.6099,-9.7146,5.2198,-0.0000,13.8066
0.6092,-9.8234,5.1737,0.0004,13.9155
0.6086,-9.9323,5.1272,0.0005,14.0243
0.6079,-10.0411,5.0803,0.0005,14.1331
