x_map,y_map,v_target,kappa,s
0.5532,4.0350,4.9003,0.295756,0.0000
0.5638,3.9626,4.9596,0.271769,0.0732
0.5730,3.8900,5.0183,0.253443,0.1464
0.5808,3.8173,5.0763,0.237736,0.2195
0.5874,3.7444,5.1337,0.206474,0.2927
0.5928,3.6714,5.1904,0.192654,0.3659
0.5972,3.5984,5.2465,0.167794,0.4391
0.6007,3.5253,5.3020,0.109615,0.5123
0.6037,3.4521,5.3569,0.129991,0.5855
0.6059,3.3790,5.4113,0.119850,0.6586
0.6075,3.3058,5.4651,0.102010,0.7318
0.6086,3.2327,5.5184,0.089555,0.8050
0.6091,3.1595,5.5712,0.077595,0.8782
0.6093,3.0863,5.6235,0.061280,0.9514
0.6091,3.0131,5.6753,0.052514,1.0245
0.6086,2.9399,5.7266,0.041237,1.0977
0.6080,2.8667,5.7775,0.036518,1.1709
0.6071,2.7936,5.8280,0.028794,1.2441
0.6061,2.7204,5.8780,0.023358,1.3173
0.6049,2.6472,5.9276,0.020111,1.3905
0.6037,2.5741,5.9768,0.015447,1.4636
0.6023,2.5009,6.0255,0.014113,1.5368
0.6009,2.4277,6.0739,0.012003,1.6100
0.5994,2.3546,6.1219,0.011897,1.6832
0.5979,2.2814,6.1696,0.011011,1.7564
0.5963,2.2082,6.2168,0.011654,1.8295
0.5946,2.1351,6.2637,0.012178,1.9027
0.5929,2.0619,6.3103,0.012675,1.9759
0.5911,1.9887,6.3565,0.013950,2.0491
0.5892,1.9156,6.4024,0.014748,2.1223
0.5872,1.8424,6.4480,0.015868,2.1954
0.5852,1.7693,6.4932,0.016924,2.2686
0.5831,1.6961,6.5381,0.017594,2.3418
0.5808,1.6230,6.5827,0.018706,2.4150
0.5785,1.5498,6.6271,0.019309,2.4882
0.5761,1.4767,6.6711,0.020260,2.5614
0.5736,1.4036,6.7148,0.020284,2.6345
0.5709,1.3304,6.7583,0.021642,2.7077
0.5682,1.2573,6.8015,0.021070,2.7809
0.5653,1.1842,6.8444,0.021696,2.8541
0.5623,1.1110,6.8870,0.021377,2.9273
0.5592,1.0379,6.9294,0.021797,3.0004
0.5560,0.9648,6.9715,0.021954,3.0736
0.5526,0.8917,7.0134,0.021604,3.1468
0.5492,0.8186,7.0550,0.021882,3.2200
0.5456,0.7455,7.0963,0.021449,3.2932
0.5419,0.6724,7.1375,0.021762,3.3664
0.5381,0.5993,7.1784,0.021262,3.4395
0.5342,0.5263,7.2190,0.021269,3.5127
0.5302,0.4532,7.2595,0.020974,3.5859
0.5260,0.3801,7.2997,0.020845,3.6591
0.5218,0.3071,7.3397,0.020810,3.7323
0.5174,0.2340,7.3794,0.020577,3.8054
0.5130,0.1610,7.4190,0.020817,3.8786
0.5084,0.0879,7.4584,0.020562,3.9518
0.5037,0.0149,7.4975,0.020160,4.0250
0.4989,-0.0581,7.5364,0.020217,4.0982
0.4940,-0.1311,7.5752,0.020466,4.1714
0.4889,-0.2041,7.6137,0.020614,4.2445
0.4838,-0.2771,7.6521,0.020549,4.3177
0.4786,-0.3501,7.6902,0.021343,4.3909
0.4732,-0.4231,7.7282,0.021866,4.4641
0.4678,-0.4961,7.7660,0.022439,4.5373
0.4622,-0.5691,7.8036,0.023232,4.6104
0.4565,-0.6420,7.8410,0.023712,4.6836
0.4506,-0.7150,7.8783,0.024283,4.7568
0.4446,-0.7879,7.9153,0.024746,4.8300
0.4385,-0.8608,7.9012,0.024892,4.9032
0.4323,-0.9338,7.8631,0.025186,4.9763
0.4259,-1.0067,7.8249,0.025367,5.0495
0.4194,-1.0795,7.7864,0.026304,5.1227
0.4128,-1.1524,7.7478,0.026431,5.1959
0.4060,-1.2253,7.7090,0.026187,5.2691
0.3991,-1.2981,7.6699,0.026152,5.3423
0.3920,-1.3710,7.6307,0.026150,5.4154
0.3848,-1.4438,7.5913,0.026124,5.4886
0.3775,-1.5166,7.5517,0.025282,5.5618
0.3700,-1.5894,7.5118,0.025389,5.6350
0.3624,-1.6622,7.4718,0.024785,5.7082
0.3546,-1.7350,7.4315,0.024440,5.7813
0.3467,-1.8077,7.3910,0.024049,5.8545
0.3387,-1.8805,7.3503,0.023136,5.9277
0.3306,-1.9532,7.3094,0.022696,6.0009
0.3224,-2.0259,7.2682,0.021594,6.0741
0.3140,-2.0986,7.2268,0.020904,6.1473
0.3055,-2.1713,7.1852,0.019324,6.2204
0.2970,-2.2440,7.1433,0.018218,6.2936
0.2883,-2.3167,7.1012,0.017085,6.3668
0.2795,-2.3893,7.0588,0.015754,6.4400
0.2707,-2.4620,7.0162,0.014444,6.5132
0.2617,-2.5346,6.9733,0.012386,6.5863
0.2528,-2.6072,6.9301,0.011023,6.6595
0.2437,-2.6798,6.8867,0.008900,6.7327
0.2346,-2.7525,6.8430,0.007346,6.8059
0.2255,-2.8251,6.7990,0.005553,6.8791
0.2163,-2.8977,6.7547,0.003913,6.9523
0.2071,-2.9703,6.7101,0.002631,7.0254
0.1979,-3.0429,6.6653,0.001463,7.0986
0.1887,-3.1155,6.6201,0.000526,7.1718
0.1795,-3.1881,6.5746,0.000657,7.2450
0.1703,-3.2607,6.5288,0.000919,7.3182
0.1611,-3.3333,6.4827,0.001108,7.3913
0.1519,-3.4059,6.4363,0.000612,7.4645
0.1427,-3.4785,6.3895,0.000032,7.5377
0.1335,-3.5511,6.3423,0.001271,7.6109
0.1243,-3.6237,6.2949,0.003075,7.6841
0.1151,-3.6963,6.2470,0.005285,7.7573
0.1058,-3.7689,6.1988,0.008796,7.8304
0.0966,-3.8415,6.1502,0.011858,7.9036
0.0872,-3.9140,6.1012,0.017418,7.9768
0.0778,-3.9866,6.0518,0.019405,8.0500
0.0682,-4.0592,6.0021,0.027185,8.1232
0.0585,-4.1317,5.9519,0.029831,8.1963
0.0487,-4.2042,5.9012,0.036993,8.2695
0.0386,-4.2767,5.8502,0.042307,8.3427
0.0283,-4.3492,5.7986,0.048059,8.4159
0.0178,-4.4216,5.7467,0.055596,8.4891
0.0070,-4.4940,5.6942,0.059258,8.5622
-0.0041,-4.5663,5.6413,0.071900,8.6354
-0.0157,-4.6386,5.5878,0.072605,8.7086
-0.0276,-4.7108,5.5339,0.082199,8.7818
-0.0399,-4.7829,5.4794,0.088380,8.8550
-0.0527,-4.8550,5.4244,0.091576,8.9282
-0.0660,-4.9269,5.3688,0.101785,9.0013
-0.0798,-4.9988,5.3126,0.104026,9.0745
-0.0942,-5.0705,5.2558,0.112058,9.1477
-0.1091,-5.1422,5.1984,0.119595,9.2209
-0.1247,-5.2137,5.1404,0.124268,9.2941
-0.1409,-5.2850,5.0816,0.134015,9.3672
-0.1579,-5.3562,5.0223,0.144328,9.4404
-0.1755,-5.4273,4.9622,0.153527,9.5136
-0.1940,-5.4981,4.9013,0.167855,9.5868
-0.2134,-5.5686,4.8397,0.191842,9.6600
-0.2337,-5.6389,4.7773,0.219003,9.7332
-0.2551,-5.7089,4.7141,0.271414,9.8063
-0.2780,-5.7784,4.6500,0.297852,9.8795
-0.3023,-5.8474,4.5850,0.336741,9.9527
-0.3284,-5.9158,4.5191,0.380385,10.0259
-0.3563,-5.9835,4.4522,0.413056,10.0991
-0.3863,-6.0502,4.3843,0.451745,10.1722
-0.4185,-6.1160,4.3153,0.491663,10.2454
-0.4530,-6.1805,4.2452,0.513756,10.3186
-0.4899,-6.2437,4.1740,0.555838,10.3918
-0.5293,-6.3053,4.1014,0.586184,10.4650
-0.5714,-6.3652,4.0276,0.616181,10.5382
-0.6161,-6.4231,3.9524,0.640138,10.6113
-0.6634,-6.4789,3.9005,0.657289,10.6845
-0.7134,-6.5323,3.8624,0.670338,10.7577
-0.7660,-6.5833,3.8657,0.669195,10.8309
-0.8210,-6.6315,3.8877,0.661645,10.9041
-0.8782,-6.6771,3.8658,0.669153,10.9772
-0.9376,-6.7198,3.8750,0.665956,11.0504
-0.9991,-6.7596,3.8910,0.660502,11.1236
-1.0623,-6.7963,3.8889,0.661221,11.1968
-1.1273,-6.8299,3.8888,0.661246,11.2700
-1.1938,-6.8604,3.9005,0.657286,11.3432
-1.2618,-6.8876,3.9240,0.649435,11.4163
-1.3309,-6.9116,3.9869,0.629113,11.4895
-1.4010,-6.9323,4.0355,0.614043,11.5627
-1.4721,-6.9499,4.0603,0.606583,11.6359
-1.5438,-6.9643,4.0948,0.596398,11.7091
-1.6161,-6.9756,4.1365,0.584433,11.7822
-1.6888,-6.9838,4.1851,0.570928,11.8554
-1.7618,-6.9889,4.1988,0.567230,11.9286
-1.8349,-6.9910,4.1789,0.572625,12.0018
-1.9081,-6.9901,4.1598,0.577891,12.0750
-1.9811,-6.9860,4.1416,0.582984,12.1481
-2.0540,-6.9788,4.1372,0.584240,12.2213
-2.1264,-6.9686,4.1295,0.586423,12.2945
-2.1983,-6.9552,4.1101,0.591959,12.3677
-2.2696,-6.9387,4.0375,0.608638,12.4409
-2.3401,-6.9191,3.9625,0.633093,12.5141
-2.4096,-6.8962,3.8861,0.662185,12.5872
-2.4779,-6.8700,3.8190,0.685645,12.6604
-2.5448,-6.8404,3.7577,0.708186,12.7336
-2.6101,-6.8074,3.7133,0.725229,12.8068
-2.6735,-6.7709,3.7006,0.730205,12.8800
-2.7349,-6.7311,3.6899,0.734476,12.9531
-2.7941,-6.6881,3.7059,0.728126,13.0263
-2.8509,-6.6420,3.7541,0.709566,13.0995
-2.9052,-6.5930,3.8015,0.691978,13.1727
-2.9570,-6.5413,3.8353,0.679843,13.2459
-3.0061,-6.4871,3.8519,0.673986,13.3191
-3.0525,-6.4306,3.8774,0.665164,13.3922
-3.0961,-6.3718,3.9001,0.657421,13.4654
-3.1369,-6.3111,3.9001,0.657435,13.5386
-3.1746,-6.2484,3.9073,0.655004,13.6118
-3.2094,-6.1840,3.9242,0.649392,13.6850
-3.2410,-6.1180,3.9399,0.644203,13.7581
-3.2695,-6.0506,3.9711,0.634115,13.8313
-3.2948,-5.9820,3.9588,0.638061,13.9045
-3.3169,-5.9122,3.9374,0.645018,13.9777
-3.3357,-5.8415,3.9392,0.644429,14.0509
-3.3511,-5.7700,3.9338,0.646218,14.1241
-3.3631,-5.6978,3.9356,0.645615,14.1972
-3.3717,-5.6252,3.9621,0.637018,14.2704
-3.3769,-5.5522,3.9898,0.628212,14.3436
-3.3788,-5.4790,4.0625,0.603878,14.4168
-3.3774,-5.4059,4.1001,0.594850,14.4900
-3.3728,-5.3328,4.1709,0.567561,14.5631
-3.3652,-5.2601,4.2405,0.527753,14.6363
-3.3548,-5.1876,4.3090,0.498125,14.7095
-3.3418,-5.1156,4.3764,0.468813,14.7827
-3.3263,-5.0441,4.4428,0.432566,14.8559
-3.3085,-4.9731,4.5082,0.406823,14.9290
-3.2887,-4.9027,4.5726,0.379014,15.0022
-3.2669,-4.8328,4.6362,0.349877,15.0754
-3.2433,-4.7636,4.6989,0.325784,15.1486
-3.2181,-4.6949,4.7608,0.293177,15.2218
-3.1914,-4.6267,4.8219,0.269740,15.2950
-3.1633,-4.5591,4.8823,0.247528,15.3681
-3.1341,-4.4921,4.9418,0.225362,15.4413
-3.1037,-4.4255,5.0007,0.211581,15.5145
-3.0723,-4.3594,5.0589,0.184126,15.5877
-3.0401,-4.2937,5.1165,0.166329,15.6609
-3.0070,-4.2284,5.1734,0.153760,15.7340
-2.9732,-4.1635,5.2296,0.135586,15.8072
-2.9387,-4.0989,5.2853,0.120065,15.8804
-2.9037,-4.0347,5.3404,0.109218,15.9536
-2.8682,-3.9707,5.3949,0.096922,16.0268
-2.8322,-3.9070,5.4489,0.083133,16.1000
-2.7959,-3.8435,5.5024,0.078336,16.1731
-2.7591,-3.7802,5.5553,0.068460,16.2463
-2.7221,-3.7170,5.6078,0.064492,16.3195
-2.6847,-3.6541,5.6597,0.057613,16.3927
-2.6471,-3.5913,5.7112,0.053842,16.4659
-2.6093,-3.5287,5.7623,0.051085,16.5390
-2.5712,-3.4662,5.8128,0.046690,16.6122
-2.5329,-3.4038,5.8630,0.046155,16.6854
-2.4944,-3.3416,5.8718,0.043053,16.7586
-2.4557,-3.2795,5.8204,0.040075,16.8318
-2.4168,-3.2175,5.7687,0.037202,16.9050
-2.3777,-3.1556,5.7164,0.033277,16.9781
-2.3385,-3.0938,5.6637,0.029385,17.0513
-2.2992,-3.0321,5.6105,0.022650,17.1245
-2.2597,-2.9705,5.5567,0.017403,17.1977
-2.2202,-2.9089,5.5025,0.003821,17.2709
-2.1807,-2.8473,5.4477,0.004412,17.3440
-2.1411,-2.7857,5.3923,0.021245,17.4172
-2.1017,-2.7241,5.3364,0.038822,17.4904
-2.0625,-2.6623,5.2798,0.058821,17.5636
-2.0235,-2.6004,5.2227,0.074072,17.6368
-1.9848,-2.5382,5.1649,0.105051,17.7100
-1.9467,-2.4758,5.1065,0.144852,17.7831
-1.9092,-2.4130,5.0474,0.180141,17.8563
-1.8725,-2.3496,4.9876,0.218508,17.9295
-1.8368,-2.2857,4.9271,0.263401,18.0027
-1.8024,-2.2211,4.8658,0.306965,18.0759
-1.7695,-2.1558,4.8037,0.350712,18.1490
-1.7382,-2.0896,4.7409,0.390342,18.2222
-1.7088,-2.0226,4.6772,0.421631,18.2954
-1.6816,-1.9547,4.6126,0.446441,18.3686
