x_map,y_map,v_target,kappa,s
-1.0351,5.1824,3.0942,0.000000,0.0000
-0.9396,5.1863,3.2139,0.391634,0.0956
-0.8393,5.1866,3.2667,0.596857,0.1959
-0.7413,5.1811,3.2822,0.623491,0.2941
-0.6459,5.1698,3.2957,0.626234,0.3901
-0.5440,5.1513,3.3078,0.644080,0.4937
-0.4434,5.1261,3.3158,0.645900,0.5974
-0.3508,5.0963,3.3229,0.627364,0.6947
-0.2574,5.0597,3.3330,0.630144,0.7950
-0.1644,5.0162,3.3418,0.650102,0.8976
-0.0771,4.9682,3.3463,0.650728,0.9973
0.0060,4.9152,3.3504,0.628588,1.0958
0.0868,4.8564,3.3580,0.603978,1.1958
0.1651,4.7916,3.3692,0.579085,1.2974
0.2370,4.7248,3.3840,0.563373,1.3956
0.3044,4.6549,3.4003,0.549562,1.4927
0.3694,4.5797,3.4178,0.528815,1.5921
0.4321,4.4989,3.4377,0.502484,1.6944
0.4905,4.4151,3.4609,0.472123,1.7965
0.5417,4.3338,3.4882,0.443948,1.8926
0.5906,4.2481,3.5186,0.424221,1.9913
0.6368,4.1585,3.5508,0.411228,2.0921
0.6800,4.0653,3.5836,0.403775,2.1948
0.7191,3.9711,3.6158,0.393505,2.2968
0.7532,3.8785,3.6481,0.376412,2.3954
0.7842,3.7839,3.6820,0.363491,2.4950
0.8119,3.6875,3.7165,0.355150,2.5953
0.8363,3.5897,3.7509,0.351056,2.6961
0.8572,3.4910,3.7843,0.347349,2.7970
0.8745,3.3922,3.8165,0.334155,2.8973
0.8885,3.2930,3.8500,0.319697,2.9975
0.8993,3.1936,3.8848,0.306361,3.0975
0.9071,3.0941,3.9206,0.294167,3.1973
0.9119,2.9948,3.9573,0.282192,3.2967
0.9139,2.8946,3.9945,0.262558,3.3969
0.9133,2.7943,4.0343,0.237752,3.4972
0.9103,2.6944,4.0775,0.211880,3.5971
0.9052,2.5949,4.1242,0.185282,3.6968
0.8983,2.4956,4.1747,0.158183,3.7963
0.8898,2.3962,4.2291,0.132868,3.8961
0.8799,2.2965,4.2870,0.109310,3.9963
0.8690,2.1971,4.3482,0.085630,4.0963
0.8573,2.0980,4.4126,0.061823,4.1961
0.8449,1.9991,4.4806,0.037824,4.2958
0.8322,1.9001,4.5521,0.015565,4.3956
0.8192,1.8007,4.6271,0.003860,4.4958
0.8063,1.7015,4.7031,0.023288,4.5958
0.7937,1.6025,4.7730,0.042860,4.6956
0.7815,1.5035,4.8369,0.062536,4.7953
0.7699,1.4045,4.8948,0.076371,4.8950
0.7591,1.3050,4.9477,0.077334,4.9952
0.7490,1.2054,4.9996,0.076594,5.0952
0.7397,1.1060,5.0505,0.075866,5.1951
0.7312,1.0066,5.1006,0.075159,5.2948
0.7234,0.9072,5.1498,0.073275,5.3945
0.7163,0.8072,5.1982,0.068019,5.4948
0.7099,0.7074,5.2473,0.062181,5.5948
0.7041,0.6076,5.2968,0.056311,5.6947
0.6989,0.5081,5.3470,0.050406,5.7944
0.6942,0.4086,5.3977,0.044482,5.8940
0.6899,0.3082,5.4492,0.038613,5.9945
0.6860,0.2081,5.5013,0.032701,6.0947
0.6824,0.1083,5.5541,0.026754,6.1946
0.6791,0.0087,5.6078,0.020725,6.2942
0.6761,-0.0906,5.6622,0.013869,6.3936
0.6731,-0.1911,5.7176,0.004539,6.4941
0.6702,-0.2913,5.7749,0.005498,6.5943
0.6672,-0.3911,5.8312,0.015676,6.6941
0.6641,-0.4905,5.8837,0.026047,6.7937
0.6608,-0.5899,5.9325,0.034204,6.8930
0.6570,-0.6898,5.9779,0.036736,6.9930
0.6530,-0.7896,6.0222,0.038222,7.0929
0.6485,-0.8893,6.0653,0.039570,7.1927
0.6437,-0.9890,6.1074,0.040692,7.2926
0.6384,-1.0886,6.1486,0.039497,7.3923
0.6328,-1.1879,6.1894,0.034685,7.4917
0.6268,-1.2874,6.2312,0.029552,7.5914
0.6205,-1.3872,6.2740,0.024481,7.6914
0.6139,-1.4873,6.3179,0.019536,7.7917
0.6072,-1.5871,6.3381,0.016038,7.8917
0.6003,-1.6862,6.2676,0.014379,7.9911
0.5933,-1.7857,6.1959,0.012893,8.0908
0.5861,-1.8855,6.1230,0.011453,8.1909
0.5788,-1.9856,6.0491,0.010090,8.2913
0.5715,-2.0853,5.9746,0.011670,8.3913
0.5640,-2.1845,5.9010,0.016747,8.4907
0.5564,-2.2839,5.8281,0.021971,8.5905
0.5485,-2.3836,5.7559,0.027119,8.6905
0.5403,-2.4836,5.6843,0.032197,8.7908
0.5318,-2.5833,5.6134,0.038166,8.8908
0.5230,-2.6824,5.5437,0.045434,8.9903
0.5137,-2.7817,5.4751,0.052680,9.0900
0.5039,-2.8812,5.4074,0.059844,9.1900
0.4934,-2.9809,5.3406,0.066928,9.2903
0.4823,-3.0804,5.2747,0.074256,9.3904
0.4706,-3.1792,5.2098,0.082294,9.4899
0.4580,-3.2780,5.1459,0.090255,9.5895
0.4444,-3.3770,5.0828,0.098143,9.6895
0.4299,-3.4762,5.0205,0.105877,9.7897
0.4143,-3.5754,4.9589,0.113811,9.8901
0.3977,-3.6733,4.8984,0.122765,9.9894
0.3799,-3.7713,4.8387,0.131853,10.0890
0.3608,-3.8693,4.7799,0.140780,10.1888
0.3402,-3.9673,4.7219,0.149577,10.2890
0.3180,-4.0653,4.6645,0.158461,10.3894
0.2946,-4.1619,4.6084,0.169737,10.4889
0.2696,-4.2581,4.5536,0.182039,10.5883
0.2427,-4.3541,4.5001,0.193954,10.6880
0.2139,-4.4500,4.4477,0.205467,10.7881
0.1829,-4.5456,4.3962,0.216488,10.8886
0.1500,-4.6403,4.3454,0.226840,10.9888
0.1152,-4.7336,4.2954,0.237421,11.0884
0.0781,-4.8263,4.2462,0.249060,11.1883
0.0386,-4.9182,4.1981,0.261904,11.2883
-0.0033,-5.0092,4.1514,0.275932,11.3885
-0.0477,-5.0988,4.1061,0.289315,11.4885
-0.0951,-5.1880,4.0604,0.295262,11.5895
-0.1451,-5.2755,4.0138,0.300798,11.6902
-0.1973,-5.3610,3.9669,0.308829,11.7905
-0.2519,-5.4443,3.9202,0.319511,11.8901
-0.3086,-5.5252,3.8743,0.332675,11.9889
-0.3694,-5.6061,3.8279,0.339515,12.0900
-0.4339,-5.6860,3.7808,0.341797,12.1927
-0.5001,-5.7624,3.7320,0.348017,12.2938
-0.5676,-5.8351,3.6828,0.359122,12.3930
-0.6362,-5.9038,3.6343,0.375842,12.4901
-0.7103,-5.9728,3.5856,0.386537,12.5913
-0.7904,-6.0415,3.5362,0.390442,12.6968
-0.8699,-6.1044,3.4850,0.401385,12.7982
-0.9480,-6.1613,3.4348,0.422817,12.8949
-1.0255,-6.2131,3.3876,0.450182,12.9881
-1.1209,-6.2707,3.3398,0.454744,13.0996
-1.2100,-6.3188,3.2895,0.448208,13.2008
-1.2915,-6.3583,3.2352,0.417575,13.2913
-1.3878,-6.4003,3.1754,0.237152,13.3964
-1.4777,-6.4369,3.0912,0.312969,13.4934
-1.5592,-6.4729,3.0180,0.347948,13.5826
-1.6460,-6.5146,2.9434,0.325560,13.6788
-1.7358,-6.5544,2.8972,0.648194,13.7771
-1.8212,-6.5861,2.8794,0.874629,13.8682
-1.9222,-6.6140,2.8739,0.963303,13.9730
-2.0312,-6.6323,2.8683,0.946128,14.0835
-2.1250,-6.6387,2.8657,0.855783,14.1776
-2.2243,-6.6374,2.8428,0.833497,14.2768
-2.3265,-6.6273,2.8173,0.868161,14.3795
-2.4294,-6.6078,2.8019,0.936175,14.4842
-2.5274,-6.5791,2.7868,0.939367,14.5863
-2.6214,-6.5415,2.7687,0.928762,14.6876
-2.7107,-6.4957,2.7485,0.952399,14.7880
-2.7941,-6.4423,2.7352,1.014333,14.8870
-2.8717,-6.3809,2.7300,1.055733,14.9859
-2.9463,-6.3076,2.7248,0.979505,15.0905
-3.0111,-6.2296,2.7330,0.884956,15.1920
-3.0668,-6.1489,2.7533,0.799274,15.2899
-3.1143,-6.0674,2.7833,0.742516,15.3844
-3.1590,-5.9760,2.8195,0.710593,15.4861
-3.1959,-5.8846,2.8544,0.594166,15.5846
-3.2274,-5.7912,2.9029,0.412677,15.6833
-3.2546,-5.6982,2.9748,0.344315,15.7801
-3.2782,-5.6066,3.0524,0.421894,15.8747
-3.2990,-5.5097,3.1123,0.480775,15.9738
-3.3158,-5.4070,3.1594,0.513364,16.0779
-3.3269,-5.3049,3.1982,0.505541,16.1806
-3.3326,-5.2096,3.2359,0.471526,16.2760
-3.3339,-5.1108,3.2769,0.452459,16.3749
-3.3306,-5.0092,3.3184,0.446511,16.4765
-3.3225,-4.9058,3.3584,0.450719,16.5803
-3.3099,-4.8048,3.3951,0.446159,16.6820
-3.2932,-4.7072,3.4304,0.429333,16.7810
-3.2722,-4.6096,3.4667,0.417232,16.8809
-3.2470,-4.5125,3.5029,0.410205,16.9812
-3.2178,-4.4162,3.5384,0.407949,17.0818
-3.1847,-4.3214,3.5723,0.399978,17.1823
-3.1480,-4.2284,3.6054,0.373568,17.2822
-3.1079,-4.1369,3.6419,0.344409,17.3821
-3.0647,-4.0469,3.6817,0.315131,17.4820
-3.0186,-3.9582,3.7250,0.286064,17.5819
-2.9701,-3.8710,3.7716,0.256798,17.6817
-2.9192,-3.7848,3.8215,0.225097,17.7818
-2.8664,-3.6999,3.8754,0.192798,17.8818
-2.8121,-3.6160,3.9333,0.160655,17.9817
-2.7564,-3.5331,3.9953,0.128700,18.0816
-2.6997,-3.4510,4.0615,0.096702,18.1813
-2.6420,-3.3690,4.1318,0.064121,18.2816
-2.5837,-3.2874,4.2067,0.030883,18.3820
-2.5253,-3.2061,4.2864,0.002799,18.4820
-2.4671,-3.1251,4.3700,0.037032,18.5818
-2.4094,-3.0442,4.4443,0.071923,18.6812
-2.3518,-2.9622,4.5093,0.104013,18.7813
-2.2948,-2.8791,4.5654,0.133507,18.8821
-2.2392,-2.7957,4.6135,0.164059,18.9823
-2.1852,-2.7119,4.5964,0.195808,19.0820
-2.1332,-2.6276,4.5521,0.228790,19.1811
-2.0828,-2.5414,4.5132,0.257680,19.2809
-2.0340,-2.4529,4.4784,0.281257,19.3820
-1.9881,-2.3637,4.4481,0.306088,19.4823
-1.9452,-2.2738,4.4228,0.332417,19.5819
-1.9057,-2.1833,4.4029,0.359919,19.6806
-1.8690,-2.0903,4.3862,0.377889,19.7807
-1.8354,-1.9947,4.3708,0.386756,19.8820
-1.8058,-1.8988,4.3572,0.397296,19.9823
-1.7803,-1.8028,4.3460,0.410111,20.0816
-1.7590,-1.7070,4.3376,0.420879,20.1798
-1.7412,-1.6075,4.3293,0.396677,20.2809
-1.7274,-1.5074,4.3274,0.352863,20.3819
-1.7173,-1.4081,4.3352,0.305974,20.4818
-1.7103,-1.3096,4.3527,0.256609,20.5804
-1.7058,-1.2112,4.3803,0.215589,20.6790
-1.7034,-1.1113,4.4161,0.188297,20.7789
-1.7028,-1.0118,4.4563,0.157036,20.8784
-1.7038,-0.9122,4.5021,0.121956,20.9780
-1.7061,-0.8119,4.5545,0.094340,21.0783
-1.7091,-0.7149,4.6137,0.102743,21.1754
-1.7132,-0.6166,4.6674,0.118693,21.2738
-1.7186,-0.5166,4.7161,0.132273,21.3739
-1.7254,-0.4148,4.7604,0.143159,21.4760
-1.7335,-0.3150,4.8009,0.146236,21.5761
-1.7428,-0.2179,4.8397,0.142738,21.6736
-1.7537,-0.1193,4.8783,0.139819,21.7728
-1.7661,-0.0193,4.9166,0.137626,21.8736
